phone-service out-of-service
associate 10011 com.mediatek.datatransfer@1
associate 10013 com.android.deskclock@203
associate 10020 com.android.gallery3d@40001
associate 10031 com.google.android.apps.plus@413801663
associate 10039 com.android.vending@80330600
associate 10041 android.uid.mms:10041@17
associate 10044 com.mediatek.mtklogger@1
associate 10061 com.mediatek.systemupdate@1
associate 10071 tunein.player@134
associate 10078 edu.umich.PowerTutor@15
begin 8
total-power 1198
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10009 900
CPU 298
CPU-sys 63
CPU-usr 6
CPU-freq 1001.0
CPU-0 48
CPU-1000 302
CPU-1001 6
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10011 0
CPU-10013 0
CPU-10014 69
CPU-10020 0
CPU-10025 347
CPU-10027 0
CPU-10030 96
CPU-10031 0
CPU-10034 0
CPU-10039 96
CPU-10041 0
CPU-10043 0
CPU-10044 0
CPU-10060 0
CPU-10061 0
CPU-10071 0
CPU-10078 34
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
battery-change 0 100/100 4192250
associate 10022 com.google.android.gm@4900120
associate 10055 com.android.quicksearchbox@17
begin 9
total-power 1208
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 308
CPU-sys 59
CPU-usr 13
CPU-freq 1001.0
CPU-0 84
CPU-1000 263
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 133
CPU-10011 0
CPU-10013 0
CPU-10014 42
CPU-10020 0
CPU-10022 234
CPU-10025 251
CPU-10027 0
CPU-10030 42
CPU-10031 0
CPU-10034 0
CPU-10039 70
CPU-10041 0
CPU-10043 0
CPU-10044 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10071 0
CPU-10078 21
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 10
total-power 1203
meminfo 1007496 264088 38080 438752
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 303
CPU-sys 52
CPU-usr 18
CPU-freq 1001.0
CPU-0 49
CPU-1000 379
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 134
CPU-10025 219
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 0
CPU-10078 21
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 11
total-power 1150
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 250
CPU-sys 29
CPU-usr 29
CPU-freq 1001.0
CPU-0 35
CPU-1000 381
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 271
CPU-10020 0
CPU-10022 0
CPU-10025 242
CPU-10027 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 7
CPU-10061 0
CPU-10078 35
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
signal 15
begin 12
total-power 1079
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 179
CPU-sys 23
CPU-usr 18
CPU-freq 1001.0
CPU-0 7
CPU-1000 296
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 314
CPU-10020 0
CPU-10022 0
CPU-10025 14
CPU-10027 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 14
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 13
total-power 1152
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 252
CPU-sys 43
CPU-usr 15
CPU-freq 1001.0
CPU-0 35
CPU-1000 496
CPU-1001 7
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 222
CPU-10020 0
CPU-10022 0
CPU-10025 21
CPU-10027 0
CPU-10030 0
CPU-10031 0
CPU-10034 50
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 7
CPU-10061 0
CPU-10078 28
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 14
total-power 1118
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 218
CPU-sys 29
CPU-usr 21
CPU-freq 1001.0
CPU-0 14
CPU-1000 340
CPU-1001 7
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 50
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 287
CPU-10020 7
CPU-10022 7
CPU-10025 65
CPU-10027 0
CPU-10030 36
CPU-10031 14
CPU-10034 7
CPU-10039 7
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 14
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 15
total-power 1070
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 170
CPU-sys 24
CPU-usr 15
CPU-freq 1001.0
CPU-0 7
CPU-1000 268
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 286
CPU-10034 0
CPU-10043 0
CPU-10060 0
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 16
total-power 910
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 10
CPU-sys 3
CPU-usr 0
CPU-freq 1001.0
CPU-0 6
CPU-1000 0
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 20
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 17
total-power 904
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 4
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 0
CPU-1000 7
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 18
total-power 919
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 19
CPU-sys 5
CPU-usr 0
CPU-freq 1001.0
CPU-0 14
CPU-1000 42
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-10014 0
CPU-10034 0
CPU-10043 0
CPU-10060 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
battery-change 0 100/100 4189250
begin 19
total-power 912
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 12
CPU-sys 3
CPU-usr 0
CPU-freq 1001.0
CPU-0 20
CPU-1000 6
CPU-1001 6
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 6
CPU-10061 0
CPU-10078 13
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
signal 20
begin 20
total-power 906
meminfo 1007496 265420 38104 438784
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 6
CPU-sys 2
CPU-usr 0
CPU-freq 1001.0
CPU-0 0
CPU-1000 21
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 7
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 7
CPU-10061 0
CPU-10078 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 21
total-power 904
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 4
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 0
CPU-1000 0
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 7
CPU-10061 0
CPU-10078 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 22
total-power 906
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 6
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 0
CPU-1000 0
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 6
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 20
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 23
total-power 906
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 6
CPU-sys 2
CPU-usr 0
CPU-freq 1001.0
CPU-0 7
CPU-1000 0
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 24
total-power 1333
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 433
CPU-sys 91
CPU-usr 9
CPU-freq 1001.0
CPU-0 1132
CPU-1000 0
CPU-1001 1132
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 1132
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
signal 14
begin 25
total-power 906
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 6
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 0
CPU-1000 159
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 6
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 26
total-power 902
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 2
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 7
CPU-1000 0
CPU-1001 21
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 77
CPU-10043 0
CPU-10055 0
CPU-10060 28
CPU-10061 0
CPU-10078 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 27
total-power 904
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 4
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 0
CPU-1000 49
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 14
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 28
total-power 906
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 6
CPU-sys 1
CPU-usr 0
CPU-freq 1001.0
CPU-0 6
CPU-1000 6
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 110
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 13
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
battery-change 0 100/100 4187250
begin 29
total-power 908
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 8
CPU-sys 2
CPU-usr 0
CPU-freq 1001.0
CPU-0 6
CPU-1000 6
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 6
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
signal 14
associate 10075 Endomondo.com:10075@181
begin 30
total-power 1169
meminfo 1007496 252860 38124 438784
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10075 900
CPU 269
CPU-sys 54
CPU-usr 8
CPU-freq 1001.0
CPU-0 117
CPU-1000 176
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 67
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10078 33
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 31
total-power 1147
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10075 900
CPU 247
CPU-sys 57
CPU-usr 0
CPU-freq 1001.0
CPU-0 7
CPU-1000 168
CPU-1001 63
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 7
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 42
CPU-10061 0
CPU-10075 520
CPU-10078 14
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 32
total-power 1119
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10075 900
CPU 219
CPU-sys 51
CPU-usr 0
CPU-freq 1001.0
CPU-0 13
CPU-1000 76
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10075 572
CPU-10078 6
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 33
total-power 1104
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10075 900
CPU 204
CPU-sys 43
CPU-usr 5
CPU-freq 1001.0
CPU-0 42
CPU-1000 56
CPU-1001 7
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 0
CPU-10020 0
CPU-10022 0
CPU-10025 21
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10075 523
CPU-10078 7
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 34
total-power 1195
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10075 900
CPU 295
CPU-sys 52
CPU-usr 16
CPU-freq 1001.0
CPU-0 13
CPU-1000 55
CPU-1001 0
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10002 0
CPU-10007 0
CPU-10009 0
CPU-10011 0
CPU-10013 0
CPU-10014 6
CPU-10020 0
CPU-10022 0
CPU-10025 0
CPU-10030 0
CPU-10031 0
CPU-10034 0
CPU-10039 0
CPU-10043 0
CPU-10055 0
CPU-10060 0
CPU-10061 0
CPU-10075 696
CPU-10078 20
Wifi 0
Wifi-on false
3G 0
3G-on false
